method,benchmark_tier,cohort,query_type,query_count,ranked_candidate_count,graph_node_count,graph_edge_count,user_node_count,event_node_count,poi_node_count,category_node_count,trail_node_count,next_edge_count,dense_seed_count,expansion_hops,expansion_direction,rrf_k,expansion_traversal_count,unique_expanded_candidate_count,min_expanded_candidates_per_query,max_expanded_candidates_per_query,mean_expanded_candidates_per_query,queries_with_no_new_neighbor
graph,core,main,relational_after,107,5086,9030,19942,108,5106,1553,228,2035,3071,5,1,symmetric_previous_next,60,1225,1126,6,14,10.523364485981308,0
graph,core,main,semantic,105,4996,9030,19942,108,5106,1553,228,2035,3071,5,1,symmetric_previous_next,60,1207,1099,6,15,10.466666666666667,0
graph,core,main,temporal_spatial,108,5106,9030,19942,108,5106,1553,228,2035,3071,5,1,symmetric_previous_next,60,1197,1088,5,14,10.074074074074074,1
graph,stress_test,main,relational_between,98,4816,9030,19942,108,5106,1553,228,2035,3071,5,1,symmetric_previous_next,60,1183,1039,5,14,10.60204081632653,1
graph,core,high_memory_load,relational_after,35,2760,9030,19942,108,5106,1553,228,2035,3071,5,1,symmetric_previous_next,60,397,376,6,14,10.742857142857142,0
graph,core,high_memory_load,semantic,34,2690,9030,19942,108,5106,1553,228,2035,3071,5,1,symmetric_previous_next,60,397,375,7,15,11.029411764705882,0
graph,core,high_memory_load,temporal_spatial,35,2760,9030,19942,108,5106,1553,228,2035,3071,5,1,symmetric_previous_next,60,398,378,7,14,10.8,0
graph,stress_test,high_memory_load,relational_between,33,2646,9030,19942,108,5106,1553,228,2035,3071,5,1,symmetric_previous_next,60,408,360,5,14,10.909090909090908,1
