benchmark_tier,cohort,query_type,method,query_count,user_count,mrr,success_at_1,success_at_5,mrr_change_from_main,success_at_1_change_from_main,success_at_5_change_from_main
core,main,overall,flat,320,108,0.9338020833,0.8875000000,0.9937500000,0.0000000000,0.0000000000,0.0000000000
core,main,overall,vector,320,108,0.7907554642,0.6906250000,0.9343750000,0.0000000000,0.0000000000,0.0000000000
core,main,overall,graph,320,108,0.7882505179,0.6906250000,0.9281250000,0.0000000000,0.0000000000,0.0000000000
core,high_memory_load,overall,flat,104,35,0.9121794872,0.8557692308,0.9807692308,-0.0216225962,-0.0317307692,-0.0129807692
core,high_memory_load,overall,vector,104,35,0.7841264505,0.6923076923,0.9134615385,-0.0066290137,0.0016826923,-0.0209134615
core,high_memory_load,overall,graph,104,35,0.7806712199,0.6923076923,0.9134615385,-0.0075792980,0.0016826923,-0.0146634615
