query_id,user_id,query_type,candidate_count,positive_personalization_event_count,zero_personalization_event_count,personalization_event_weight_sum,full_graph_ppr_score_sum,event_only_ppr_score_sum,component_count
tokyo_135393_semantic,135393,semantic,46,46,0,1,1,0.734195982851645,1
tokyo_135393_temporal_spatial,135393,temporal_spatial,46,46,0,1,1,0.734241818099445,1
tokyo_138301_relational_after,138301,relational_after,39,39,0,1,1,0.738276869069266,2
tokyo_138301_semantic,138301,semantic,39,39,0,1,1,0.738010075686671,2
tokyo_138301_temporal_spatial,138301,temporal_spatial,39,39,0,1,1,0.738053094109983,2
tokyo_139656_relational_after,139656,relational_after,55,55,0,1,1,0.747142065245563,1
tokyo_139656_semantic,139656,semantic,55,55,0,1,1,0.747058307239369,1
tokyo_139656_temporal_spatial,139656,temporal_spatial,55,55,0,1,1,0.747155908289219,1
tokyo_140734_relational_after,140734,relational_after,24,24,0,1,1,0.722536445229846,3
tokyo_140734_semantic,140734,semantic,24,24,0,1,1,0.722337011046151,3
tokyo_140734_temporal_spatial,140734,temporal_spatial,24,24,0,1,1,0.722972973329238,3
tokyo_140775_relational_after,140775,relational_after,23,23,0,1,1,0.724147306405751,2
tokyo_140775_semantic,140775,semantic,23,23,0,1,1,0.72428814758797,2
tokyo_140775_temporal_spatial,140775,temporal_spatial,23,23,0,1,1,0.724141301170265,2
tokyo_149225_relational_after,149225,relational_after,33,33,0,1,1,0.736790553109058,1
tokyo_149225_semantic,149225,semantic,33,33,0,1,1,0.736615200585375,1
tokyo_149225_temporal_spatial,149225,temporal_spatial,33,33,0,1,1,0.736656991204164,1
tokyo_152722_relational_after,152722,relational_after,33,33,0,1,1,0.739458135461986,1
tokyo_152722_semantic,152722,semantic,33,33,0,1,1,0.739227660435245,1
tokyo_152722_temporal_spatial,152722,temporal_spatial,33,33,0,1,1,0.739214179807322,1
tokyo_156873_relational_after,156873,relational_after,116,116,0,1,1,0.739676366869648,3
tokyo_156873_semantic,156873,semantic,116,116,0,1,1,0.73970115816796,3
tokyo_156873_temporal_spatial,156873,temporal_spatial,116,116,0,1,1,0.739706283033484,3
tokyo_167728_relational_after,167728,relational_after,59,59,0,1,1,0.735513690466852,5
tokyo_167728_semantic,167728,semantic,59,59,0,1,1,0.735551844848861,5
tokyo_167728_temporal_spatial,167728,temporal_spatial,59,59,0,1,1,0.735567534153706,5
tokyo_169053_relational_after,169053,relational_after,25,25,0,1,1,0.73830272553305,1
tokyo_169053_semantic,169053,semantic,25,25,0,1,1,0.737984873700907,1
tokyo_169053_temporal_spatial,169053,temporal_spatial,25,25,0,1,1,0.738307697727472,1
tokyo_171659_relational_after,171659,relational_after,26,26,0,1,1,0.728830353006569,2
tokyo_171659_semantic,171659,semantic,26,26,0,1,1,0.728665587590604,2
tokyo_171659_temporal_spatial,171659,temporal_spatial,26,26,0,1,1,0.728464040896972,2
tokyo_178798_relational_after,178798,relational_after,26,26,0,1,1,0.721463866218717,5
tokyo_178798_semantic,178798,semantic,26,26,0,1,1,0.721385042024691,5
tokyo_178798_temporal_spatial,178798,temporal_spatial,26,26,0,1,1,0.721355333985255,5
tokyo_19379_relational_after,19379,relational_after,80,80,0,1,1,0.734317373796464,2
tokyo_19379_semantic,19379,semantic,80,80,0,1,1,0.734229709864199,2
tokyo_19379_temporal_spatial,19379,temporal_spatial,80,80,0,1,1,0.734251219118222,2
tokyo_210254_relational_after,210254,relational_after,29,29,0,1,1,0.721672871082792,5
tokyo_210254_semantic,210254,semantic,29,29,0,1,1,0.721827249426831,5
tokyo_210254_temporal_spatial,210254,temporal_spatial,29,29,0,1,1,0.721778021723345,5
tokyo_223807_relational_after,223807,relational_after,26,26,0,1,1,0.7275391292311,2
tokyo_223807_semantic,223807,semantic,26,26,0,1,1,0.727282782033658,2
tokyo_223807_temporal_spatial,223807,temporal_spatial,26,26,0,1,1,0.727307037239933,2
tokyo_2309_relational_after,2309,relational_after,34,34,0,1,1,0.741089124526227,1
tokyo_2309_semantic,2309,semantic,34,34,0,1,1,0.740898892271436,1
tokyo_2309_temporal_spatial,2309,temporal_spatial,34,34,0,1,1,0.740737213028321,1
tokyo_23925_relational_after,23925,relational_after,43,43,0,1,1,0.740406976708904,1
tokyo_23925_semantic,23925,semantic,43,43,0,1,1,0.740380374047063,1
tokyo_23925_temporal_spatial,23925,temporal_spatial,43,43,0,1,1,0.740398074874001,1
tokyo_24620_relational_after,24620,relational_after,70,70,0,1,1,0.763913195678703,1
tokyo_24620_temporal_spatial,24620,temporal_spatial,70,70,0,1,1,0.763895790357432,1
tokyo_24664_relational_after,24664,relational_after,69,69,0,1,1,0.729234131551992,5
tokyo_24664_semantic,24664,semantic,69,69,0,1,1,0.728990682443442,5
tokyo_24664_temporal_spatial,24664,temporal_spatial,69,69,0,1,1,0.728978239156605,5
tokyo_24765_relational_after,24765,relational_after,51,51,0,1,1,0.72119132766587,6
tokyo_24765_semantic,24765,semantic,51,51,0,1,1,0.721319149444762,6
tokyo_24765_temporal_spatial,24765,temporal_spatial,51,51,0,1,1,0.721295803900207,6
tokyo_254908_relational_after,254908,relational_after,33,33,0,1,1,0.736340483925234,3
tokyo_254908_semantic,254908,semantic,33,33,0,1,1,0.73606468434121,3
tokyo_254908_temporal_spatial,254908,temporal_spatial,33,33,0,1,1,0.736046201656182,3
tokyo_259163_relational_after,259163,relational_after,28,28,0,1,1,0.737128531415225,2
tokyo_259163_semantic,259163,semantic,28,28,0,1,1,0.73698476238558,2
tokyo_259163_temporal_spatial,259163,temporal_spatial,28,28,0,1,1,0.737014694493394,2
tokyo_263152_relational_after,263152,relational_after,27,27,0,1,1,0.726265843099838,2
tokyo_263152_semantic,263152,semantic,27,27,0,1,1,0.726457284745214,2
tokyo_263152_temporal_spatial,263152,temporal_spatial,27,27,0,1,1,0.726361865416179,2
tokyo_264627_relational_after,264627,relational_after,59,59,0,1,1,0.731963963751655,2
tokyo_264627_semantic,264627,semantic,59,59,0,1,1,0.731983254138858,2
tokyo_264627_temporal_spatial,264627,temporal_spatial,59,59,0,1,1,0.731985906677673,2
tokyo_267704_relational_after,267704,relational_after,48,48,0,1,1,0.757207739812072,1
tokyo_267704_semantic,267704,semantic,48,48,0,1,1,0.75725361267154,1
tokyo_267704_temporal_spatial,267704,temporal_spatial,48,48,0,1,1,0.757269243059505,1
