query_id,user_id,component_id,component_event_count,component_personalization_mass,component_ppr_mass
tokyo_121554_semantic,121554,2,2,0.0670659652527123,0.0670659652667549
tokyo_121554_temporal_spatial,121554,1,29,0.937022679200537,0.93702267918459
tokyo_121554_temporal_spatial,121554,2,2,0.0629773207994631,0.0629773208154096
tokyo_126183_relational_after,126183,1,2,0.0277441676245697,0.0277441676436913
tokyo_126183_relational_after,126183,2,65,0.916889132797629,0.916889132752997
tokyo_126183_relational_after,126183,3,4,0.055366699577801,0.0553666996033117
tokyo_126183_semantic,126183,1,2,0.0288525864392643,0.0288525864573536
tokyo_126183_semantic,126183,2,65,0.914660823181026,0.914660823138469
tokyo_126183_semantic,126183,3,4,0.0564865903797092,0.056486590404177
tokyo_126183_temporal_spatial,126183,1,2,0.0275989184831501,0.027598918502407
tokyo_126183_temporal_spatial,126183,2,65,0.916321291318084,0.916321291273981
tokyo_126183_temporal_spatial,126183,3,4,0.0560797901987655,0.0560797902236121
tokyo_127201_relational_after,127201,1,38,1,1
tokyo_127201_semantic,127201,1,38,1,1
tokyo_127201_temporal_spatial,127201,1,38,1,1
tokyo_129047_relational_after,129047,1,21,1,1
tokyo_129047_semantic,129047,1,21,1,1
tokyo_129047_temporal_spatial,129047,1,21,1,1
tokyo_130084_relational_after,130084,1,74,0.938713811968005,0.938713811929127
tokyo_130084_relational_after,130084,2,3,0.0364472857389758,0.0364472857614755
tokyo_130084_relational_after,130084,3,2,0.0248389022930195,0.0248389023093972
tokyo_130084_semantic,130084,1,74,0.935636208646544,0.935636208574522
tokyo_130084_semantic,130084,2,3,0.0380033514674803,0.0380033515095812
tokyo_130084_semantic,130084,3,2,0.026360439885976,0.0263604399158972
tokyo_130084_temporal_spatial,130084,1,74,0.935928077341591,0.935928077269025
tokyo_130084_temporal_spatial,130084,2,3,0.0381283975049121,0.03812839754678
tokyo_130084_temporal_spatial,130084,3,2,0.0259435251534968,0.0259435251841945
tokyo_130568_relational_after,130568,1,34,1,1
tokyo_130568_semantic,130568,1,34,1,1
tokyo_130568_temporal_spatial,130568,1,34,1,1
tokyo_130777_relational_after,130777,1,27,0.794850247636508,0.794850247616993
tokyo_130777_relational_after,130777,2,3,0.087548959544907,0.0875489595589225
tokyo_130777_relational_after,130777,3,4,0.117600792818585,0.117600792824085
tokyo_130777_semantic,130777,1,27,0.794185356496293,0.794185356477087
tokyo_130777_semantic,130777,2,3,0.0886170823389582,0.0886170823524763
tokyo_130777_semantic,130777,3,4,0.117197561164749,0.117197561170437
tokyo_130777_temporal_spatial,130777,1,27,0.793009808373464,0.793009808354806
tokyo_130777_temporal_spatial,130777,2,3,0.0895656901304378,0.0895656901435142
tokyo_130777_temporal_spatial,130777,3,4,0.117424501496098,0.11742450150168
