benchmark_tier,cohort,query_type,method,query_count,user_count,mrr,success_at_1,success_at_5,mrr_change_from_main,success_at_1_change_from_main,success_at_5_change_from_main
core,main,overall,flat,320,108,0.9338020833,0.8875000000,0.9937500000,0.0000000000,0.0000000000,0.0000000000
core,main,overall,vector,320,108,0.7553577622,0.6187500000,0.9406250000,0.0000000000,0.0000000000,0.0000000000
core,main,overall,graph,320,108,0.7539018029,0.6187500000,0.9343750000,0.0000000000,0.0000000000,0.0000000000
core,high_memory_load,overall,flat,104,35,0.9121794872,0.8557692308,0.9807692308,-0.0216225962,-0.0317307692,-0.0129807692
core,high_memory_load,overall,vector,104,35,0.7394664443,0.6153846154,0.9134615385,-0.0158913179,-0.0033653846,-0.0271634615
core,high_memory_load,overall,graph,104,35,0.7388921499,0.6153846154,0.9134615385,-0.0150096529,-0.0033653846,-0.0209134615
