configuration,query_count,improved_vs_dense,unchanged_vs_dense,worsened_vs_dense,improved_vs_symmetric,unchanged_vs_symmetric,worsened_vs_symmetric,target_first_reached_as_self,target_first_reached_as_previous,target_first_reached_as_next,target_not_expanded,structural_first_reach_count,structural_first_reach_rate,dense_graph_top1_identical_count,dense_graph_top1_changed_count,mean_rr_delta_vs_dense,mean_rr_delta_vs_symmetric
E5 Graph Symmetric,107,10,86,11,0,107,0,51,0,55,1,55,0.5140186916,107,0,0.0021832446,0.0000000000
E5 Graph NEXT-only,107,11,89,7,6,100,1,51,0,55,1,55,0.5140186916,107,0,0.0080651612,0.0058819166
