stratum,comparison,query_count,improved,unchanged,worsened,mean_rank_gain,mean_baseline_target_rank,mean_candidate_target_rank,baseline_mrr,candidate_mrr,baseline_success_at_1,candidate_success_at_1,baseline_success_at_5,candidate_success_at_5,top1_identical_count,top1_changed_count
overall,all_event_ppr_rrf_vs_e5_dense,320,40,114,166,-1.7718750000,2.3968750000,4.1687500000,0.7553577622,0.5386258211,0.6187500000,0.3500000000,0.9406250000,0.7968750000,148,172
overall,all_event_ppr_rrf_vs_top5_ppr_rrf,320,57,108,155,-1.6156250000,2.5531250000,4.1687500000,0.6745610585,0.5386258211,0.4750000000,0.3500000000,0.9406250000,0.7968750000,147,173
overall,all_event_raw_ppr_vs_top5_raw_ppr,320,40,38,242,-7.9375000000,3.2781250000,11.2156250000,0.6088042880,0.2945316700,0.4125000000,0.1593750000,0.9406250000,0.4187500000,70,250
target_in_dense_top5,all_event_ppr_rrf_vs_e5_dense,301,33,112,156,-1.7873754153,1.5813953488,3.3687707641,0.7976190476,0.5659529743,0.6578073090,0.3720930233,1.0000000000,0.8372093023,139,162
target_in_dense_top5,all_event_ppr_rrf_vs_top5_ppr_rrf,301,49,108,144,-1.5614617940,1.8073089701,3.3687707641,0.7116279070,0.5659529743,0.5049833887,0.3720930233,1.0000000000,0.8372093023,138,163
target_in_dense_top5,all_event_raw_ppr_vs_top5_raw_ppr,301,31,38,232,-8.4385382060,2.1461794020,10.5847176080,0.6421373200,0.3061848809,0.4385382060,0.1694352159,1.0000000000,0.4352159468,66,235
target_outside_dense_top5,all_event_ppr_rrf_vs_e5_dense,19,7,2,10,-1.5263157895,15.3157894737,16.8421052632,0.0858500309,0.1057061836,0.0000000000,0.0000000000,0.0000000000,0.1578947368,9,10
target_outside_dense_top5,all_event_ppr_rrf_vs_top5_ppr_rrf,19,8,0,11,-2.4736842105,14.3684210526,16.8421052632,0.0873441432,0.1057061836,0.0000000000,0.0000000000,0.0000000000,0.1578947368,9,10
target_outside_dense_top5,all_event_raw_ppr_vs_top5_raw_ppr,19,9,0,10,0.0000000000,21.2105263158,21.2105263158,0.0807388853,0.1099202769,0.0000000000,0.0000000000,0.0000000000,0.1578947368,4,15
